path,phase,required,owner,status,revision,sha256,consumes,evidence_ids,confidentiality,produced_by,verified_by,verification_id,updated_at,notes
00-governance/intake-original.md,INTAKE,true,root-integration-owner,VERIFIED,2,e7e2c21c831851cf40b800af2b7ab3a3a621cf6b7820ba392604de18aa80e7f1,,INPUT-001,UNRESOLVED,single-input-kickoff,root-integration-owner,INTAKE-MECH-001,2026-08-01T11:15:28Z,Exact byte comparison to intake.md and SHA-256 match; user supplied the six-field contract.
00-governance/intake.json,INTAKE,true,root-integration-owner,VERIFIED,2,c7d5bbee1eb0bbaf8c770b621df898cd459c99b2cf1cb9ba73054eae2e8a3737,00-governance/intake-original.md,INPUT-001,UNRESOLVED,single-input-kickoff,root-integration-owner,INTAKE-MECH-002,2026-08-01T11:15:28Z,JSON schema-v2 fields and E1 assertion policy mechanically checked against raw intake.
00-governance/program-charter.md,INTAKE,true,root-integration-owner,VERIFIED,2,80726a8931b7c9d342070e9f55b53e130dd7b006a7e66ff2f53abf0ec2bbc7d6,00-governance/intake.json,INPUT-001,UNRESOLVED,root-integration-owner,root-integration-owner,INTAKE-MECH-003,2026-08-01T11:15:28Z,"Claim, public-source authority, confidentiality, external-processing, dual-use, and human-approval boundaries explicitly recorded. Same-owner verification is mechanical/structural, not institutional approval."
00-governance/decision-log.md,INTAKE,false,root-integration-owner,DRAFT,36,7df897663b939be1010b668dda2183db0beb6be04342a2dfaef38acb21c74c5b,00-governance/intake.json,C001,UNRESOLVED,gate-decision-append,,,2026-08-01T20:28:22Z,Append-only control ledger; each gate append creates a new draft revision.
01-novelty/problem-investigation.md,NOVELTY_AUDIT,true,causal-problem-investigator,STALE,4,9f2a33dbd9bdb2c0f6bb18670b8138b8ace5281bad4c8205222501e09d6ec56c,00-governance/program-charter.md,C001,UNRESOLVED,/root/chronosaudit_causal_problem_investigation,,,2026-08-01T20:17:01Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-5 schema-v2 assurance cannot support progression. Two delegated discovery attempts failed with preserved recovery evidence; the successful specialist independently adjudicated only a root-authored six-query packet and explicitly could not certify independent search ownership. PA036-PA040 are verified new nonmaterial predecessors, and no equivalent joint protocol was found, so C001-JOINT remains POTENTIALLY_DIFFERENTIATING only as a bounded hypothesis. Historical screening counts and query attribution remain unreconstructable; citation-chain saturation, correction/retraction/contradictory-evidence search, patent-family, proprietary, subscription-index, and non-English coverage remain incomplete."
01-novelty/search-protocol.md,NOVELTY_AUDIT,true,root-integration-owner,STALE,5,2973369f415ccdcd28c631a423473d26925f6f35652d71e95773941d2cdb1061,01-novelty/problem-investigation.md,"C001,PA001,PA002,PA003,PA004,PA005,PA006,PA007,PA008,PA009,PA010,PA011,PA012,PA013,PA014,PA015,PA016,PA017,PA018,PA019,PA020,PA021,PA022,PA023,PA024,PA025,PA026,PA027,PA028,PA029,PA030,PA031,PA032,PA033,PA034,PA035",UNRESOLVED,root-integration-owner,,,2026-08-01T20:17:01Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-5 schema-v2 assurance cannot support progression. Two delegated discovery attempts failed with preserved recovery evidence; the successful specialist independently adjudicated only a root-authored six-query packet and explicitly could not certify independent search ownership. PA036-PA040 are verified new nonmaterial predecessors, and no equivalent joint protocol was found, so C001-JOINT remains POTENTIALLY_DIFFERENTIATING only as a bounded hypothesis. Historical screening counts and query attribution remain unreconstructable; citation-chain saturation, correction/retraction/contradictory-evidence search, patent-family, proprietary, subscription-index, and non-English coverage remain incomplete."
01-novelty/evidence-ledger.csv,NOVELTY_AUDIT,true,root-integration-owner,STALE,6,f7259654d8159a3d6caeb3e5e90ec16b28e12dd27debb448077527232d76d15d,01-novelty/search-protocol.md,PA001-PA040,UNRESOLVED,root-integration-owner,,,2026-08-01T20:17:01Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-5 schema-v2 assurance cannot support progression. Two delegated discovery attempts failed with preserved recovery evidence; the successful specialist independently adjudicated only a root-authored six-query packet and explicitly could not certify independent search ownership. PA036-PA040 are verified new nonmaterial predecessors, and no equivalent joint protocol was found, so C001-JOINT remains POTENTIALLY_DIFFERENTIATING only as a bounded hypothesis. Historical screening counts and query attribution remain unreconstructable; citation-chain saturation, correction/retraction/contradictory-evidence search, patent-family, proprietary, subscription-index, and non-English coverage remain incomplete."
01-novelty/novelty-matrix.csv,NOVELTY_AUDIT,true,root-integration-owner,STALE,6,f9e98c47c6deaa5737a9850be93725c7ed32ee640cfe0e28e80757d1f303115e,01-novelty/evidence-ledger.csv,"C001,PA001-PA040",UNRESOLVED,root-integration-owner,,,2026-08-01T20:17:01Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-5 schema-v2 assurance cannot support progression. Two delegated discovery attempts failed with preserved recovery evidence; the successful specialist independently adjudicated only a root-authored six-query packet and explicitly could not certify independent search ownership. PA036-PA040 are verified new nonmaterial predecessors, and no equivalent joint protocol was found, so C001-JOINT remains POTENTIALLY_DIFFERENTIATING only as a bounded hypothesis. Historical screening counts and query attribution remain unreconstructable; citation-chain saturation, correction/retraction/contradictory-evidence search, patent-family, proprietary, subscription-index, and non-English coverage remain incomplete."
01-novelty/citation-audit.md,NOVELTY_AUDIT,true,root-integration-owner,STALE,5,3fce53f23b931a8562306d8a5608dc7cd9513d138c10d573c20285ba3a654eba,01-novelty/evidence-ledger.csv|01-novelty/novelty-matrix.csv,"C001,PA001-PA040",UNRESOLVED,root-integration-owner,,,2026-08-01T20:17:01Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-5 schema-v2 assurance cannot support progression. Two delegated discovery attempts failed with preserved recovery evidence; the successful specialist independently adjudicated only a root-authored six-query packet and explicitly could not certify independent search ownership. PA036-PA040 are verified new nonmaterial predecessors, and no equivalent joint protocol was found, so C001-JOINT remains POTENTIALLY_DIFFERENTIATING only as a bounded hypothesis. Historical screening counts and query attribution remain unreconstructable; citation-chain saturation, correction/retraction/contradictory-evidence search, patent-family, proprietary, subscription-index, and non-English coverage remain incomplete."
01-novelty/causal-model.mmd,NOVELTY_AUDIT,true,causal-problem-investigator,STALE,4,eb7826a0c7e3fb576480e3923ea6e33b785650b605c4d956a68e4a15595e9d34,01-novelty/problem-investigation.md,C001,UNRESOLVED,/root/chronosaudit_causal_problem_investigation,,,2026-08-01T20:17:01Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-5 schema-v2 assurance cannot support progression. Two delegated discovery attempts failed with preserved recovery evidence; the successful specialist independently adjudicated only a root-authored six-query packet and explicitly could not certify independent search ownership. PA036-PA040 are verified new nonmaterial predecessors, and no equivalent joint protocol was found, so C001-JOINT remains POTENTIALLY_DIFFERENTIATING only as a bounded hypothesis. Historical screening counts and query attribution remain unreconstructable; citation-chain saturation, correction/retraction/contradictory-evidence search, patent-family, proprietary, subscription-index, and non-English coverage remain incomplete."
